 17.000 -9.3354E-01  1.9115E-01 -1.4299E+01  9.223E-01  3.3252E+01  1.7034E+01
 18.000 -1.1500E+00  1.6488E-01 -1.4514E+01  9.234E-01  3.6128E+01  1.8031E+01
 19.000 -1.3536E+00  1.3949E-01 -1.4719E+01  9.247E-01  3.9080E+01  1.9029E+01
 20.000 -1.5445E+00  1.1498E-01 -1.4880E+01  9.263E-01  4.2104E+01  2.0027E+01
 21.000 -1.7244E+00  9.8053E-02 -1.4970E+01  9.280E-01  4.5197E+01  2.1026E+01
 22.000 -1.8940E+00  9.0156E-02 -1.5044E+01  9.297E-01  4.8357E+01  2.2024E+01
 23.000 -2.0542E+00  8.7286E-02 -1.5130E+01  9.312E-01  5.1580E+01  2.3023E+01
 24.000 -2.2061E+00  8.8088E-02 -1.5243E+01  9.325E-01  5.4865E+01  2.4021E+01
 25.000 -2.3508E+00  8.9844E-02 -1.5397E+01  9.335E-01  5.8209E+01  2.5020E+01
 26.000 -2.4886E+00  9.1133E-02 -1.5580E+01  9.345E-01  6.1611E+01  2.6019E+01
 27.000 -2.6203E+00  9.1705E-02 -1.5773E+01  9.354E-01  6.5067E+01  2.7018E+01
 28.000 -2.7453E+00  9.1689E-02 -1.5978E+01  9.365E-01  6.8577E+01  2.8018E+01
 29.000 -2.8653E+00  9.0626E-02 -1.6184E+01  9.376E-01  7.2139E+01  2.9017E+01
 30.000 -2.9798E+00  8.9224E-02 -1.6390E+01  9.387E-01  7.5750E+01  3.0016E+01
